host,size_bytes,interval_s,transmitted,replied,start_epoch,end_epoch,duration_s,req_rate_Bps,rep_rate_Bps
www.canterbury.ac.nz,512,0.05,160,141,1755074916.216576524,1755074924.685784764,8.469208,9672.687221756745,8524.055614173132
www.canterbury.ac.nz,512,0.02,400,377,1755074925.762880657,1755074934.488138707,8.725258,23472.085295357454,22122.440390874403
www.canterbury.ac.nz,512,0.005,1600,1469,1755074935.564073391,1755074951.833435359,16.269362,50352.31252460914,46229.71693665676
www.canterbury.ac.nz,512,0.002,4000,3779,1755074952.909301119,1755074992.805157903,39.895857,51333.65101042948,48497.46679210325
www.canterbury.ac.nz,1024,0.05,160,128,1755074993.880298387,1755075002.272993490,8.392695,19521.73884550791,15617.391076406328
www.canterbury.ac.nz,1024,0.02,400,368,1755075003.349682992,1755075012.311375152,8.961692,45705.654691100746,42049.20231581269
www.canterbury.ac.nz,1024,0.005,1600,1474,1755075013.388479124,1755075030.507315566,17.118836,95707.44179101897,88170.48074997621
www.canterbury.ac.nz,1024,0.002,4000,3822,1755075031.581108214,1755075070.528359893,38.947252,105167.88193426329,100487.91118818858
www.canterbury.ac.nz,1400,0.05,160,154,1755075071.609925929,1755075080.167598559,8.557673,26175.339955149026,25193.764706830934
www.canterbury.ac.nz,1400,0.02,400,386,1755075081.247716967,1755075089.781450043,8.533733,65621.92653555016,63325.1591068059
www.canterbury.ac.nz,1400,0.005,1600,1535,1755075090.857857949,1755075107.246241777,16.388384,136682.1768394004,131129.46340529976
www.canterbury.ac.nz,1400,0.002,4000,3619,1755075108.344870440,1755075147.045204933,38.700334,144701.5935314667,130918.76674759449
